userId|homeLatitude|homeLongitude|gyration|tweets
17863|47.38|8.54|24.286221837015226|56
55223|46.51|6.65|58.359025684487754|131
99983|47.5|8.74|18.413536483987606|140
371243|46.03|8.98|59.090727489558674|123
626163|46.17|9.0|54.714971831702165|396
634553|46.2|6.2|38.04139192523264|480
640043|45.79|9.37|27.21481893103181|275
754363|47.43|9.39|81.88544576997788|128
788272|46.37|6.48|41.56715687950289|131
921241|47.65|9.17|82.78665968952326|64
994621|47.4|8.5|51.532279578309755|141
1035761|47.08|8.33|38.39443552760735|85
1079931|47.16|8.29|61.71583121437601|184
1438611|46.23|7.37|30.0258822397111|236
1441291|46.18|6.14|72.85643914354523|112
2217831|47.13|8.05|56.33154597405085|117
2277901|47.39|8.37|70.05085759041019|164
3534691|47.36|8.53|42.340443396957916|193
3558021|46.53|6.62|54.03290110711865|206
3916111|47.36|8.54|36.362784574905284|107
4836191|47.37|8.55|76.7721338675864|424
5455452|47.36|7.95|40.81704400610135|84
5525692|47.39|8.54|18.19711544429812|78
5654742|47.21|8.27|4.903330756831587|83
5738252|46.72|6.53|32.753253583370466|100
5908302|47.48|8.31|16.617829914661673|227
6173342|47.37|8.51|67.867202051433|224
6194482|47.37|8.54|48.83610185043692|239
6841132|47.48|9.46|26.387158856577948|55
7091052|46.23|6.08|42.404118312120175|89
7128662|46.2|6.12|28.302692352664693|85
7278212|46.8|9.83|302.9257609960395|56
8025622|46.6|6.83|125.8026553912694|219
8077292|46.69|7.68|36.68727737485396|312
8157952|46.81|6.65|102.13012627048431|165
8266702|46.95|7.45|46.4684590061324|411
8614392|47.58|7.57|60.485374520116906|390
8673832|47.41|8.72|20.894927324993063|367
8809222|47.57|7.6|12.334384447466158|286
8883972|47.38|8.6|4.727556617480213|124
9088312|47.39|8.54|45.95849450238185|507
9197312|47.51|8.7|31.703288307322342|299
9323392|47.5|8.73|29.400418463843028|1588
9412792|47.79|7.35|41.693914731664336|164
9605222|46.81|7.16|79.85353706593615|174
10636872|46.01|8.97|18.71035957179211|593
10839772|47.38|8.67|59.859460272416754|109
11637802|47.42|8.54|167.1644399162243|156
11801922|47.51|8.77|40.25138470618734|51
11855622|47.37|8.27|55.270865108860534|82
12181922|46.25|6.2|72.55141561590328|289
12355682|47.45|9.16|17.819756434532227|95
12391462|47.42|9.37|60.12411826539237|109
12684482|46.54|6.58|47.8645816404726|299
12960732|47.38|8.52|60.83182921891398|75
13348402|46.93|7.44|80.33491661442869|107
13688402|46.49|9.83|42.116669463259136|207
13993622|47.4|8.52|19.02048179964944|75
13994272|47.14|7.48|32.36471134213865|126
14102613|47.3|7.95|111.49779248442975|109
14106683|47.41|8.12|89.4673825258411|309
14109618|47.39|8.5|5.482617387446486|124
14143700|46.95|7.44|12.847459504863242|55
14145240|47.36|8.53|14.682520832781176|131
14163152|47.42|8.37|47.73794727108055|409
14164775|47.38|8.49|43.23773668637879|284
14166349|47.36|8.57|35.756856976070296|88
14182911|46.53|6.63|35.50454985445061|283
14184860|47.53|7.65|56.597078378678845|217
14187782|45.8|9.09|43.56333511517206|64
14251517|47.38|8.54|13.276740756822361|54
14260616|47.46|8.26|34.64725427068487|631
14302013|47.36|8.55|1.4680196301344286|100
