|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
15749|2011-12-07|('45.919', '6.158')|#iae|7|True|1|11.73972846746448
8485|2011-08-02|('47.500', '8.750')|#android|5|True|1|11.672850741975775
4652|2011-05-14|('47.363', '8.551')|#esc|26|True|1|11.359805075400054
15750|2011-12-07|('45.919', '6.158')|#icare|7|True|1|10.942526622717848
15752|2011-12-07|('45.919', '6.158')|#conference|7|True|1|10.942526622717848
14510|2011-11-18|('45.919', '6.158')|#iae|8|True|1|10.296486514758838
11515|2011-09-29|('47.416', '8.555')|#innolab|10|True|1|10.078296951590803
15174|2011-11-29|('45.744', '7.317')|#chiambretti|7|True|1|9.513627295011615
10152|2011-09-07|('47.365', '8.547')|#smgzh|5|True|1|8.892216321655196
11247|2011-09-24|('47.509', '8.721')|#missch|5|True|1|8.669063771057786
15175|2011-11-29|('45.744', '7.317')|#univda|6|True|1|6.617268374544041
1183|2011-02-06|('45.943', '6.138')|#annecy2018|5|True|1|6.212644811636631
16811|2011-12-23|('45.736', '7.319')|#rollandin|6|True|1|5.6002893443768365
16707|2011-12-20|('45.736', '7.319')|#rollandin|7|True|1|3.942189959654931
5049|2011-05-22|('47.366', '8.556')|#20peopleilove|5|True|1|3.3042497887821174
16302|2011-12-15|('46.519', '6.634')|#intouchables|9|True|1|2.0945844338716175
12420|2011-10-11|('47.285', '7.947')|#twothingsthatdontmix|5|True|1|0.4893306085301066
