|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
4319|2010-10-20|('47.383', '8.536')|#tedxzh|8|False|5|162.19561747776373
5520|2010-12-07|('47.374', '8.525')|#pokert|5|False|4|74.9134955947339
4318|2010-10-20|('47.383', '8.535')|#tedxzh|6|False|3|161.53285835613664
5320|2010-12-01|('47.048', '8.314')|#collabdays|5|False|2|308.8893798757089
1349|2010-06-05|('47.667', '9.170')|#bcbs10|10|False|2|145.87972675384944
1877|2010-06-24|('47.412', '8.552')|#swisscrmforum|7|True|1|130.4193586690498
5046|2010-11-19|('47.324', '8.471')|#fb|7|True|1|84.25073917868131
5048|2010-11-19|('47.324', '8.471')|#mannechoched|6|True|1|75.88368215626194
329|2010-03-25|('47.365', '8.539')|#bosw|7|True|1|73.30134150659632
1180|2010-05-29|('47.162', '8.291')|#esc|10|True|1|61.36232231589675
1888|2010-06-24|('47.411', '8.552')|#swisscrmforum|6|True|1|51.04291714265652
290|2010-03-22|('47.054', '8.311')|#4to7|6|True|1|43.38651010693605
1307|2010-06-03|('47.382', '8.536')|#twitref|6|True|1|34.304789465130284
4682|2010-11-03|('47.365', '8.548')|#smgzh|7|True|1|17.118486314395472
5495|2010-12-06|('46.960', '7.465')|#onerepulic|5|True|1|14.731299256269889
4201|2010-10-15|('47.567', '7.597')|#gotthard|5|True|1|14.179435030274577
5386|2010-12-03|('47.588', '9.624')|#ff|5|True|1|12.737560380404265
5567|2010-12-08|('47.364', '8.535')|#switzerland|6|True|1|9.416763765477707
5568|2010-12-08|('47.364', '8.535')|#iabc|6|True|1|9.416763765477707
1879|2010-06-24|('47.411', '8.551')|#swisscrmforum|5|True|1|6.134414759734171
